Pokemon,Move,Type,Category,Accuracy,Power
Nidorina,Rage,Normal,,20,100
Nidorina,Thunderbolt,Electric,,95,100
Nidorina,Thunder,Electric,,120,70
Nidorina,Mimic,Normal,,—,100
Nidorina,Double Team,Normal,,—,—
Nidorina,Reflect,Psychic,,—,—
Nidorina,Bide,Normal,,—,—
Nidorina,Skull Bash,Normal,,100,100
Nidorina,Rest,Psychic,,—,—
Nidorina,Substitute,Normal,,—,—
Nidoqueen,Body Slam,Normal,,85,100
Nidoqueen,Scratch,Normal,,40,100
Nidoqueen,Tackle,Normal,,35,95
Nidoqueen,Tail Whip,Normal,,—,100
Nidoqueen,Poison Sting,Poison,,15,100
Nidoqueen,Bite,Normal,,60,100
Nidoqueen,Double Kick,Fighting,,30,100
Nidoqueen,Fury Swipes,Normal,,18,80
Nidoqueen,Growl,Normal,,—,100
Nidoqueen,Surf,Water,,95,100
Nidoqueen,Strength,Normal,,80,100
Nidoqueen,Mega Punch,Normal,,80,85
Nidoqueen,Mega Kick,Normal,,120,75
Nidoqueen,Toxic,Poison,,—,85
Nidoqueen,Horn Drill,Normal,,—,30
Nidoqueen,Take Down,Normal,,90,85
Nidoqueen,Double-Edge,Normal,,100,100
Nidoqueen,BubbleBeam,Water,,65,100
Nidoqueen,Water Gun,Water,,40,100
Nidoqueen,Ice Beam,Ice,,95,100
Nidoqueen,Blizzard,Ice,,120,90
Nidoqueen,Hyper Beam,Normal,,150,90
Nidoqueen,Pay Day,Normal,,40,100
Nidoqueen,Submission,Fighting,,80,80
Nidoqueen,Counter,Fighting,,—,100
Nidoqueen,Seismic Toss,Fighting,,—,100
Nidoqueen,Rage,Normal,,20,100
Nidoqueen,Thunderbolt,Electric,,95,100
Nidoqueen,Thunder,Electric,,120,70
Nidoqueen,Earthquake,Ground,,100,100
Nidoqueen,Fissure,Ground,,—,30
Nidoqueen,Mimic,Normal,,—,100
Nidoqueen,Double Team,Normal,,—,—
Nidoqueen,Reflect,Psychic,,—,—
Nidoqueen,Bide,Normal,,—,—
Nidoqueen,Fire Blast,Fire,,120,85
Nidoqueen,Skull Bash,Normal,,100,100
Nidoqueen,Rest,Psychic,,—,—
Nidoqueen,Rock Slide,Rock,,75,90
Nidoqueen,Substitute,Normal,,—,—
Nidoran M,Leer,Normal,,—,100
Nidoran M,Tackle,Normal,,35,95
Nidoran M,Horn Attack,Normal,,65,100
Nidoran M,Poison Sting,Poison,,15,100
Nidoran M,Focus Energy,Normal,,—,—
Nidoran M,Fury Attack,Normal,,15,85
Nidoran M,Horn Drill,Normal,,—,30
Nidoran M,Double Kick,Fighting,,30,100
Nidoran M,Toxic,Poison,,—,85
Nidoran M,Body Slam,Normal,,85,100
Nidoran M,Take Down,Normal,,90,85
Nidoran M,Double-Edge,Normal,,100,100
Nidoran M,Blizzard,Ice,,120,90
Nidoran M,Rage,Normal,,20,100
Nidoran M,Thunderbolt,Electric,,95,100
Nidoran M,Thunder,Electric,,120,70
Nidoran M,Mimic,Normal,,—,100
Nidoran M,Double Team,Normal,,—,—
Nidoran M,Reflect,Psychic,,—,—
Nidoran M,Bide,Normal,,—,—
Nidoran M,Skull Bash,Normal,,100,100
Nidoran M,Rest,Psychic,,—,—
Nidoran M,Substitute,Normal,,—,—
Nidorino,Horn Attack,Normal,,65,100
Nidorino,Leer,Normal,,—,100
Nidorino,Tackle,Normal,,35,95
Nidorino,Poison Sting,Poison,,15,100
Nidorino,Focus Energy,Normal,,—,—
Nidorino,Fury Attack,Normal,,15,85
Nidorino,Horn Drill,Normal,,—,30
Nidorino,Double Kick,Fighting,,30,100
Nidorino,Toxic,Poison,,—,85
Nidorino,Body Slam,Normal,,85,100
Nidorino,Take Down,Normal,,90,85
Nidorino,Double-Edge,Normal,,100,100
Nidorino,BubbleBeam,Water,,65,100
Nidorino,Water Gun,Water,,40,100
Nidorino,Ice Beam,Ice,,95,100
Nidorino,Blizzard,Ice,,120,90
Nidorino,Rage,Normal,,20,100
Nidorino,Thunderbolt,Electric,,95,100
Nidorino,Thunder,Electric,,120,70
Nidorino,Mimic,Normal,,—,100
Nidorino,Double Team,Normal,,—,—
Nidorino,Reflect,Psychic,,—,—
Nidorino,Bide,Normal,,—,—
Nidorino,Skull Bash,Normal,,100,100
Nidorino,Rest,Psychic,,—,—
Nidorino,Substitute,Normal,,—,—
Nidoking,Horn Attack,Normal,,65,100
Nidoking,Poison Sting,Poison,,15,100
Nidoking,Tackle,Normal,,35,95
Nidoking,Thrash,Normal,,90,100
Nidoking,Double Kick,Fighting,,30,100
Nidoking,Focus Energy,Normal,,—,—
Nidoking,Fury Attack,Normal,,15,85
Nidoking,Leer,Normal,,—,100
Nidoking,Surf,Water,,95,100
Nidoking,Strength,Normal,,80,100
Nidoking,Mega Punch,Normal,,80,85
Nidoking,Mega Kick,Normal,,120,75
Nidoking,Toxic,Poison,,—,85
Nidoking,Horn Drill,Normal,,—,30
Nidoking,Body Slam,Normal,,85,100
Nidoking,Take Down,Normal,,90,85
Nidoking,Double-Edge,Normal,,100,100
Nidoking,BubbleBeam,Water,,65,100
Nidoking,Water Gun,Water,,40,100
Nidoking,Ice Beam,Ice,,95,100
Nidoking,Blizzard,Ice,,120,90
Nidoking,Hyper Beam,Normal,,150,90
Nidoking,Pay Day,Normal,,40,100
Nidoking,Submission,Fighting,,80,80
Nidoking,Counter,Fighting,,—,100
Nidoking,Seismic Toss,Fighting,,—,100
Nidoking,Rage,Normal,,20,100
Nidoking,Thunderbolt,Electric,,95,100
Nidoking,Thunder,Electric,,120,70
Nidoking,Earthquake,Ground,,100,100
Nidoking,Fissure,Ground,,—,30
Nidoking,Mimic,Normal,,—,100
Nidoking,Double Team,Normal,,—,—
Nidoking,Reflect,Psychic,,—,—
Nidoking,Bide,Normal,,—,—
Nidoking,Fire Blast,Fire,,120,85
Nidoking,Skull Bash,Normal,,100,100
Nidoking,Rest,Psychic,,—,—
Nidoking,Rock Slide,Rock,,75,90
Nidoking,Substitute,Normal,,—,—
Clefairy,Growl,Normal,,—,100
Clefairy,Pound,Normal,,40,100
Clefairy,Sing,Normal,,—,55
Clefairy,DoubleSlap,Normal,,15,85
Clefairy,Minimize,Normal,,—,—
Clefairy,Metronome,Normal,,—,—
Clefairy,Defense Curl,Normal,,—,—
Clefairy,Light Screen,Psychic,,—,—
Clefairy,Strength,Normal,,80,100
Clefairy,Flash,Normal,,—,70
Clefairy,Mega Punch,Normal,,80,85
Clefairy,Mega Kick,Normal,,120,75
Clefairy,Toxic,Poison,,—,85
Clefairy,Body Slam,Normal,,85,100
Clefairy,Take Down,Normal,,90,85
Clefairy,Double-Edge,Normal,,100,100
Clefairy,BubbleBeam,Water,,65,100
Clefairy,Water Gun,Water,,40,100
Clefairy,Ice Beam,Ice,,95,100
Clefairy,Blizzard,Ice,,120,90
Clefairy,Submission,Fighting,,80,80
Clefairy,Counter,Fighting,,—,100
Clefairy,Seismic Toss,Fighting,,—,100
Clefairy,Rage,Normal,,20,100
Clefairy,Solar Beam,Grass,,120,100
Clefairy,Thunderbolt,Electric,,95,100
Clefairy,Thunder,Electric,,120,70
Clefairy,Psychic,Psychic,,90,100
Clefairy,Teleport,Psychic,,—,—
Clefairy,Mimic,Normal,,—,100
Clefairy,Double Team,Normal,,—,—
Clefairy,Reflect,Psychic,,—,—
Clefairy,Bide,Normal,,—,—
Clefairy,Fire Blast,Fire,,120,85
Clefairy,Skull Bash,Normal,,100,100
Clefairy,Rest,Psychic,,—,—
Clefairy,Thunder Wave,Electric,,—,100
Clefairy,Psywave,Psychic,,—,80
Clefairy,Tri Attack,Normal,,80,100
Clefairy,Substitute,Normal,,—,—
Clefable,DoubleSlap,Normal,,15,85
Clefable,Metronome,Normal,,—,—
Clefable,Minimize,Normal,,—,—
Clefable,Sing,Normal,,—,55
Clefable,Defense Curl,Normal,,—,—
Clefable,Growl,Normal,,—,100
Clefable,Light Screen,Psychic,,—,—
Clefable,Pound,Normal,,40,100
Clefable,Strength,Normal,,80,100
Clefable,Flash,Normal,,—,70
Clefable,Mega Punch,Normal,,80,85
Clefable,Mega Kick,Normal,,120,75
Clefable,Toxic,Poison,,—,85
Clefable,Body Slam,Normal,,85,100
Clefable,Take Down,Normal,,90,85
Clefable,Double-Edge,Normal,,100,100
Clefable,BubbleBeam,Water,,65,100
Clefable,Water Gun,Water,,40,100
Clefable,Ice Beam,Ice,,95,100
Clefable,Blizzard,Ice,,120,90
Clefable,Hyper Beam,Normal,,150,90
Clefable,Submission,Fighting,,80,80
Clefable,Counter,Fighting,,—,100
Clefable,Seismic Toss,Fighting,,—,100
Clefable,Rage,Normal,,20,100
Clefable,Solar Beam,Grass,,120,100
Clefable,Thunderbolt,Electric,,95,100
Clefable,Thunder,Electric,,120,70
Clefable,Psychic,Psychic,,90,100
Clefable,Teleport,Psychic,,—,—
Clefable,Mimic,Normal,,—,100
Clefable,Double Team,Normal,,—,—
Clefable,Reflect,Psychic,,—,—
Clefable,Bide,Normal,,—,—
Clefable,Fire Blast,Fire,,120,85
Clefable,Skull Bash,Normal,,100,100
Clefable,Rest,Psychic,,—,—
Clefable,Thunder Wave,Electric,,—,100
Clefable,Psywave,Psychic,,—,80
Clefable,Tri Attack,Normal,,80,100
Clefable,Substitute,Normal,,—,—
Vulpix,Ember,Fire,,40,100
Vulpix,Tail Whip,Normal,,—,100
Vulpix,Quick Attack,Normal,,40,100
Vulpix,Roar,Normal,,—,100
Vulpix,Confuse Ray,Ghost,,—,100
Vulpix,Flamethrower,Fire,,95,100
Vulpix,Fire Spin,Fire,,15,70
Vulpix,Toxic,Poison,,—,85
Vulpix,Body Slam,Normal,,85,100
Vulpix,Take Down,Normal,,90,85
Vulpix,Double-Edge,Normal,,100,100
Vulpix,Rage,Normal,,20,100
Vulpix,Dig,Ground,,100,100
Vulpix,Mimic,Normal,,—,100
Vulpix,Double Team,Normal,,—,—
Vulpix,Reflect,Psychic,,—,—
Vulpix,Bide,Normal,,—,—
Vulpix,Fire Blast,Fire,,120,85
Vulpix,Swift,Normal,,60,
Vulpix,Skull Bash,Normal,,100,100
Vulpix,Rest,Psychic,,—,—
Vulpix,Substitute,Normal,,—,—
Ninetales,Ember,Fire,,40,100
Ninetales,Quick Attack,Normal,,40,100
Ninetales,Roar,Normal,,—,100
Ninetales,Tail Whip,Normal,,—,100
Ninetales,Confuse Ray,Ghost,,—,100
Ninetales,Fire Spin,Fire,,15,70
Ninetales,Flamethrower,Fire,,95,100
Ninetales,Toxic,Poison,,—,85
Ninetales,Body Slam,Normal,,85,100
Ninetales,Take Down,Normal,,90,85
Ninetales,Double-Edge,Normal,,100,100
Ninetales,Hyper Beam,Normal,,150,90
Ninetales,Rage,Normal,,20,100
Ninetales,Dig,Ground,,100,100
Ninetales,Mimic,Normal,,—,100
Ninetales,Double Team,Normal,,—,—
Ninetales,Reflect,Psychic,,—,—
Ninetales,Bide,Normal,,—,—
Ninetales,Fire Blast,Fire,,120,85
Ninetales,Swift,Normal,,60,
Ninetales,Skull Bash,Normal,,100,100
Ninetales,Rest,Psychic,,—,—
Ninetales,Substitute,Normal,,—,—
Jigglypuff,Sing,Normal,,—,55
Jigglypuff,Pound,Normal,,40,100
Jigglypuff,Disable,Normal,,—,55
Jigglypuff,Defense Curl,Normal,,—,—
Jigglypuff,DoubleSlap,Normal,,15,85
Jigglypuff,Rest,Psychic,,—,—
Jigglypuff,Body Slam,Normal,,85,100
Jigglypuff,Double-Edge,Normal,,100,100
Jigglypuff,Strength,Normal,,80,100
Jigglypuff,Flash,Normal,,—,70
Jigglypuff,Mega Punch,Normal,,80,85
Jigglypuff,Mega Kick,Normal,,120,75
Jigglypuff,Toxic,Poison,,—,85
Jigglypuff,Take Down,Normal,,90,85
Jigglypuff,BubbleBeam,Water,,65,100
Jigglypuff,Water Gun,Water,,40,100
Jigglypuff,Ice Beam,Ice,,95,100
Jigglypuff,Blizzard,Ice,,120,90
Jigglypuff,Submission,Fighting,,80,80
Jigglypuff,Counter,Fighting,,—,100
Jigglypuff,Seismic Toss,Fighting,,—,100
Jigglypuff,Rage,Normal,,20,100
Jigglypuff,Solar Beam,Grass,,120,100
Jigglypuff,Thunderbolt,Electric,,95,100
Jigglypuff,Thunder,Electric,,120,70
Jigglypuff,Psychic,Psychic,,90,100
Jigglypuff,Teleport,Psychic,,—,—
Jigglypuff,Mimic,Normal,,—,100
Jigglypuff,Double Team,Normal,,—,—
Jigglypuff,Reflect,Psychic,,—,—
Jigglypuff,Bide,Normal,,—,—
Jigglypuff,Fire Blast,Fire,,120,85
Jigglypuff,Skull Bash,Normal,,100,100
Jigglypuff,Thunder Wave,Electric,,—,100
Jigglypuff,Psywave,Psychic,,—,80
Jigglypuff,Tri Attack,Normal,,80,100
Jigglypuff,Substitute,Normal,,—,—
Wigglytuff,Defense Curl,Normal,,—,—
Wigglytuff,Disable,Normal,,—,55
Wigglytuff,DoubleSlap,Normal,,15,85
Wigglytuff,Sing,Normal,,—,55
Wigglytuff,Body Slam,Normal,,85,100
Wigglytuff,Double-Edge,Normal,,100,100
Wigglytuff,Pound,Normal,,40,100
Wigglytuff,Rest,Psychic,,—,—
Wigglytuff,Strength,Normal,,80,100
Wigglytuff,Flash,Normal,,—,70
Wigglytuff,Mega Punch,Normal,,80,85
Wigglytuff,Mega Kick,Normal,,120,75
Wigglytuff,Toxic,Poison,,—,85
Wigglytuff,Take Down,Normal,,90,85
Wigglytuff,BubbleBeam,Water,,65,100
Wigglytuff,Water Gun,Water,,40,100
Wigglytuff,Ice Beam,Ice,,95,100
Wigglytuff,Blizzard,Ice,,120,90
Wigglytuff,Hyper Beam,Normal,,150,90
Wigglytuff,Submission,Fighting,,80,80
Wigglytuff,Counter,Fighting,,—,100
Wigglytuff,Seismic Toss,Fighting,,—,100
Wigglytuff,Rage,Normal,,20,100
Wigglytuff,Solar Beam,Grass,,120,100
Wigglytuff,Thunderbolt,Electric,,95,100
Wigglytuff,Thunder,Electric,,120,70
Wigglytuff,Psychic,Psychic,,90,100
Wigglytuff,Teleport,Psychic,,—,—
Wigglytuff,Mimic,Normal,,—,100
Wigglytuff,Double Team,Normal,,—,—
Wigglytuff,Reflect,Psychic,,—,—
Wigglytuff,Bide,Normal,,—,—
Wigglytuff,Fire Blast,Fire,,120,85
Wigglytuff,Skull Bash,Normal,,100,100
Wigglytuff,Thunder Wave,Electric,,—,100
Wigglytuff,Psywave,Psychic,,—,80
Wigglytuff,Tri Attack,Normal,,80,100
Wigglytuff,Substitute,Normal,,—,—
Zubat,Leech Life,Bug,,20,100
Zubat,Supersonic,Normal,,—,55
Zubat,Bite,Normal,,60,100
Zubat,Confuse Ray,Ghost,,—,100
Zubat,Wing Attack,Flying,,35,100
Zubat,Haze,Ice,,—,—
Zubat,Razor Wind,Normal,,80,75
Zubat,Whirlwind,Normal,,—,85
Zubat,Toxic,Poison,,—,85
Zubat,Take Down,Normal,,90,85
Zubat,Double-Edge,Normal,,100,100
Zubat,Rage,Normal,,20,100
Zubat,Mega Drain,Grass,,40,100
Zubat,Mimic,Normal,,—,100
Zubat,Double Team,Normal,,—,—
Zubat,Bide,Normal,,—,—
Zubat,Swift,Normal,,60,
Zubat,Rest,Psychic,,—,—
Zubat,Substitute,Normal,,—,—
Golbat,Bite,Normal,,60,100
Golbat,Leech Life,Bug,,20,100
Golbat,Screech,Normal,,—,85
Golbat,Supersonic,Normal,,—,55
Golbat,Confuse Ray,Ghost,,—,100
Golbat,Wing Attack,Flying,,35,100
Golbat,Haze,Ice,,—,—
Golbat,Razor Wind,Normal,,80,75
Golbat,Whirlwind,Normal,,—,85
Golbat,Toxic,Poison,,—,85
Golbat,Take Down,Normal,,90,85
Golbat,Double-Edge,Normal,,100,100
Golbat,Hyper Beam,Normal,,150,90
Golbat,Rage,Normal,,20,100
Golbat,Mega Drain,Grass,,40,100
Golbat,Mimic,Normal,,—,100
Golbat,Double Team,Normal,,—,—
Golbat,Bide,Normal,,—,—
Golbat,Swift,Normal,,60,
Golbat,Rest,Psychic,,—,—
Golbat,Substitute,Normal,,—,—
Oddish,Absorb,Grass,,20,100
Oddish,Poison Powder,Poison,,—,75
Oddish,Stun Spore,Grass,,—,75
Oddish,Sleep Powder,Grass,,—,75
Oddish,Acid,Poison,,40,100
Oddish,Petal Dance,Grass,,70,100
Oddish,Solar Beam,Grass,,120,100
Oddish,Cut,Normal,,50,95
Oddish,Swords Dance,Normal,,—,—
Oddish,Toxic,Poison,,—,85
Oddish,Take Down,Normal,,90,85
Oddish,Double-Edge,Normal,,100,100
Oddish,Rage,Normal,,20,100
Oddish,Mega Drain,Grass,,40,100
Oddish,Mimic,Normal,,—,100
Oddish,Double Team,Normal,,—,—
Oddish,Reflect,Psychic,,—,—
Oddish,Bide,Normal,,—,—
Oddish,Rest,Psychic,,—,—
Oddish,Substitute,Normal,,—,—
Gloom,Absorb,Grass,,20,100
Gloom,Poison Powder,Poison,,—,75
Gloom,Stun Spore,Grass,,—,75
Gloom,Sleep Powder,Grass,,—,75
Gloom,Acid,Poison,,40,100
Gloom,Petal Dance,Grass,,70,100
Gloom,Solar Beam,Grass,,120,100
Gloom,Cut,Normal,,50,95
Gloom,Swords Dance,Normal,,—,—
Gloom,Toxic,Poison,,—,85
Gloom,Take Down,Normal,,90,85
Gloom,Double-Edge,Normal,,100,100
Gloom,Rage,Normal,,20,100
Gloom,Mega Drain,Grass,,40,100
Gloom,Mimic,Normal,,—,100
Gloom,Double Team,Normal,,—,—
Gloom,Reflect,Psychic,,—,—
Gloom,Bide,Normal,,—,—
Gloom,Rest,Psychic,,—,—
Gloom,Substitute,Normal,,—,—
Vileplume,Acid,Poison,,40,100
Vileplume,Petal Dance,Grass,,70,100
Vileplume,Sleep Powder,Grass,,—,75
Vileplume,Stun Spore,Grass,,—,75
Vileplume,Poison Powder,Poison,,—,75
Vileplume,Absorb,Grass,,20,100
Vileplume,Solar Beam,Grass,,120,100
Vileplume,Cut,Normal,,50,95
Vileplume,Swords Dance,Normal,,—,—
Vileplume,Toxic,Poison,,—,85
Vileplume,Body Slam,Normal,,85,100
Vileplume,Take Down,Normal,,90,85
Vileplume,Double-Edge,Normal,,100,100
Vileplume,Hyper Beam,Normal,,150,90
Vileplume,Rage,Normal,,20,100
Vileplume,Mega Drain,Grass,,40,100
Vileplume,Mimic,Normal,,—,100
Vileplume,Double Team,Normal,,—,—
Vileplume,Reflect,Psychic,,—,—
Vileplume,Bide,Normal,,—,—
Vileplume,Rest,Psychic,,—,—
Vileplume,Substitute,Normal,,—,—
Paras,Scratch,Normal,,40,100
Paras,Stun Spore,Grass,,—,75
Paras,Leech Life,Bug,,20,100
Paras,Spore,Grass,,—,100
Paras,Slash,Normal,,70,100
Paras,Growth,Normal,,—,—
Paras,Cut,Normal,,50,95
Paras,Swords Dance,Normal,,—,—
Paras,Toxic,Poison,,—,85
Paras,Body Slam,Normal,,85,100
Paras,Take Down,Normal,,90,85
Paras,Double-Edge,Normal,,100,100
Paras,Rage,Normal,,20,100
Paras,Mega Drain,Grass,,40,100
Paras,Solar Beam,Grass,,120,100
Paras,Dig,Ground,,100,100
Paras,Mimic,Normal,,—,100
Paras,Double Team,Normal,,—,—
Paras,Reflect,Psychic,,—,—
Paras,Bide,Normal,,—,—
Paras,Skull Bash,Normal,,100,100
Paras,Rest,Psychic,,—,—
Paras,Substitute,Normal,,—,—
Parasect,Leech Life,Bug,,20,100
Parasect,Scratch,Normal,,40,100
Parasect,Stun Spore,Grass,,—,75
Parasect,Spore,Grass,,—,100
Parasect,Slash,Normal,,70,100
Parasect,Growth,Normal,,—,—
Parasect,Cut,Normal,,50,95
Parasect,Swords Dance,Normal,,—,—
Parasect,Toxic,Poison,,—,85
Parasect,Body Slam,Normal,,85,100
Parasect,Take Down,Normal,,90,85
Parasect,Double-Edge,Normal,,100,100
Parasect,Hyper Beam,Normal,,150,90
Parasect,Rage,Normal,,20,100
Parasect,Mega Drain,Grass,,40,100
Parasect,Solar Beam,Grass,,120,100
Parasect,Dig,Ground,,100,100
Parasect,Mimic,Normal,,—,100
Parasect,Double Team,Normal,,—,—
Parasect,Reflect,Psychic,,—,—
Parasect,Bide,Normal,,—,—
Parasect,Skull Bash,Normal,,100,100
Parasect,Rest,Psychic,,—,—
Parasect,Substitute,Normal,,—,—
Venonat,Disable,Normal,,—,55
Venonat,Tackle,Normal,,35,95
Venonat,Poison Powder,Poison,,—,75
Venonat,Leech Life,Bug,,20,100
Venonat,Stun Spore,Grass,,—,75
Venonat,Psybeam,Psychic,,65,100
Venonat,Sleep Powder,Grass,,—,75
Venonat,Psychic,Psychic,,90,100
Venonat,Toxic,Poison,,—,85
Venonat,Take Down,Normal,,90,85
Venonat,Double-Edge,Normal,,100,100
Venonat,Rage,Normal,,20,100
Venonat,Mega Drain,Grass,,40,100
Venonat,Solar Beam,Grass,,120,100
Venonat,Mimic,Normal,,—,100
Venonat,Double Team,Normal,,—,—
Venonat,Reflect,Psychic,,—,—
Venonat,Bide,Normal,,—,—
Venonat,Rest,Psychic,,—,—
Venonat,Psywave,Psychic,,—,80
Venonat,Substitute,Normal,,—,—
Venonat,Supersonic,Normal,,—,55
Venonat,Confusion,Psychic,,50,100
Venonat,Flash,Normal,,—,70
Venomoth,Disable,Normal,,—,55
Venomoth,Leech Life,Bug,,20,100
Venomoth,Poison Powder,Poison,,—,75
Venomoth,Tackle,Normal,,35,95
Venomoth,Stun Spore,Grass,,—,75
Venomoth,Psybeam,Psychic,,65,100
Venomoth,Sleep Powder,Grass,,—,75
Venomoth,Psychic,Psychic,,90,100
Venomoth,Razor Wind,Normal,,80,75
Venomoth,Whirlwind,Normal,,—,85
Venomoth,Toxic,Poison,,—,85
Venomoth,Take Down,Normal,,90,85
Venomoth,Double-Edge,Normal,,100,100
Venomoth,Hyper Beam,Normal,,150,90
Venomoth,Rage,Normal,,20,100
Venomoth,Mega Drain,Grass,,40,100
Venomoth,Solar Beam,Grass,,120,100
Venomoth,Teleport,Psychic,,—,—
Venomoth,Mimic,Normal,,—,100
Venomoth,Double Team,Normal,,—,—
Venomoth,Reflect,Psychic,,—,—
Venomoth,Bide,Normal,,—,—
Venomoth,Swift,Normal,,60,
Venomoth,Rest,Psychic,,—,—
Venomoth,Psywave,Psychic,,—,80
Venomoth,Substitute,Normal,,—,—
Venomoth,Confusion,Psychic,,50,100
Venomoth,Supersonic,Normal,,—,55
Venomoth,Flash,Normal,,—,70
Diglett,Scratch,Normal,,40,100
Diglett,Growl,Normal,,—,100
Diglett,Dig,Ground,,100,100
Diglett,Sand-Attack,Normal,,—,100
Diglett,Slash,Normal,,70,100
Diglett,Earthquake,Ground,,100,100
Diglett,Toxic,Poison,,—,85
Diglett,Body Slam,Normal,,85,100
Diglett,Take Down,Normal,,90,85
Diglett,Double-Edge,Normal,,100,100
Diglett,Rage,Normal,,20,100
Diglett,Fissure,Ground,,—,30
Diglett,Mimic,Normal,,—,100
Diglett,Double Team,Normal,,—,—
Diglett,Bide,Normal,,—,—
Diglett,Rest,Psychic,,—,—
Diglett,Rock Slide,Rock,,75,90
Diglett,Substitute,Normal,,—,—
Diglett,Cut,Normal,,50,95
Dugtrio,Dig,Ground,,100,100
Dugtrio,Growl,Normal,,—,100
Dugtrio,Scratch,Normal,,40,100
Dugtrio,Sand-Attack,Normal,,—,100
Dugtrio,Slash,Normal,,70,100
Dugtrio,Earthquake,Ground,,100,100
Dugtrio,Toxic,Poison,,—,85
Dugtrio,Body Slam,Normal,,85,100
Dugtrio,Take Down,Normal,,90,85
Dugtrio,Double-Edge,Normal,,100,100
Dugtrio,Hyper Beam,Normal,,150,90
Dugtrio,Rage,Normal,,20,100
Dugtrio,Fissure,Ground,,—,30
Dugtrio,Mimic,Normal,,—,100
Dugtrio,Double Team,Normal,,—,—
Dugtrio,Bide,Normal,,—,—
Dugtrio,Rest,Psychic,,—,—
Dugtrio,Rock Slide,Rock,,75,90
Dugtrio,Substitute,Normal,,—,—
Dugtrio,Cut,Normal,,50,95
Meowth,Growl,Normal,,—,100
Meowth,Scratch,Normal,,40,100
Meowth,Bite,Normal,,60,100
Meowth,Pay Day,Normal,,40,100
Meowth,Screech,Normal,,—,85
Meowth,Fury Swipes,Normal,,18,80
Meowth,Slash,Normal,,70,100
Meowth,Toxic,Poison,,—,85
Meowth,Body Slam,Normal,,85,100
Meowth,Take Down,Normal,,90,85
Meowth,Double-Edge,Normal,,100,100
Meowth,BubbleBeam,Water,,65,100
Meowth,Water Gun,Water,,40,100
Meowth,Rage,Normal,,20,100
Meowth,Thunderbolt,Electric,,95,100
Meowth,Thunder,Electric,,120,70
Meowth,Mimic,Normal,,—,100
Meowth,Double Team,Normal,,—,—
Meowth,Bide,Normal,,—,—
Meowth,Swift,Normal,,60,
Meowth,Skull Bash,Normal,,100,100
Meowth,Rest,Psychic,,—,—
Meowth,Substitute,Normal,,—,—
Persian,Bite,Normal,,60,100
Persian,Growl,Normal,,—,100
Persian,Scratch,Normal,,40,100
Persian,Screech,Normal,,—,85
Persian,Pay Day,Normal,,40,100
Persian,Fury Swipes,Normal,,18,80
Persian,Slash,Normal,,70,100
Persian,Toxic,Poison,,—,85
Persian,Body Slam,Normal,,85,100
Persian,Take Down,Normal,,90,85
Persian,Double-Edge,Normal,,100,100
Persian,BubbleBeam,Water,,65,100
Persian,Water Gun,Water,,40,100
Persian,Hyper Beam,Normal,,150,90
Persian,Rage,Normal,,20,100
Persian,Thunderbolt,Electric,,95,100
Persian,Thunder,Electric,,120,70
Persian,Mimic,Normal,,—,100
Persian,Double Team,Normal,,—,—
Persian,Bide,Normal,,—,—
Persian,Swift,Normal,,60,
Persian,Skull Bash,Normal,,100,100
Persian,Rest,Psychic,,—,—
Persian,Substitute,Normal,,—,—
Psyduck,Scratch,Normal,,40,100
Psyduck,Tail Whip,Normal,,—,100
Psyduck,Disable,Normal,,—,55
Psyduck,Confusion,Psychic,,50,100
Psyduck,Fury Swipes,Normal,,18,80
Psyduck,Hydro Pump,Water,,120,80
Psyduck,Surf,Water,,95,100
Psyduck,Strength,Normal,,80,100
Psyduck,Mega Punch,Normal,,80,85
Psyduck,Mega Kick,Normal,,120,75
Psyduck,Toxic,Poison,,—,85
Psyduck,Body Slam,Normal,,85,100
Psyduck,Take Down,Normal,,90,85
Psyduck,Double-Edge,Normal,,100,100
Psyduck,BubbleBeam,Water,,65,100
Psyduck,Water Gun,Water,,40,100
Psyduck,Ice Beam,Ice,,95,100
Psyduck,Blizzard,Ice,,120,90
Psyduck,Pay Day,Normal,,40,100
Psyduck,Submission,Fighting,,80,80
Psyduck,Counter,Fighting,,—,100
Psyduck,Seismic Toss,Fighting,,—,100
Psyduck,Rage,Normal,,20,100
Psyduck,Dig,Ground,,100,100
Psyduck,Mimic,Normal,,—,100
Psyduck,Double Team,Normal,,—,—
Psyduck,Bide,Normal,,—,—
Psyduck,Swift,Normal,,60,
Psyduck,Skull Bash,Normal,,100,100
Psyduck,Rest,Psychic,,—,—
Psyduck,Substitute,Normal,,—,—
Golduck,Disable,Normal,,—,55
Golduck,Scratch,Normal,,40,100
Golduck,Tail Whip,Normal,,—,100
Golduck,Confusion,Psychic,,50,100
Golduck,Fury Swipes,Normal,,18,80
Golduck,Hydro Pump,Water,,120,80
Golduck,Surf,Water,,95,100
Golduck,Strength,Normal,,80,100
Golduck,Mega Punch,Normal,,80,85
Golduck,Mega Kick,Normal,,120,75
Golduck,Toxic,Poison,,—,85
Golduck,Body Slam,Normal,,85,100
Golduck,Take Down,Normal,,90,85
Golduck,Double-Edge,Normal,,100,100
Golduck,BubbleBeam,Water,,65,100
Golduck,Water Gun,Water,,40,100
Golduck,Ice Beam,Ice,,95,100
Golduck,Blizzard,Ice,,120,90
